,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
44,"26, Yeongdong-daero 131-gil, Gangnam-gu, Seoul",,1,A02,A0202,A02020700,1939670,76,20140807195239,http://tong.visitkorea.or.kr/cms/resource/00/204200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/204200_image3_1.jpg,Type3,127.0526683289,37.5211580726,6,20210730180026,1,+82-2-3423-6248,Cheongdam Park (청담공원),06073
45,"20 Jangchungdan-ro 13-gil, Jung-gu, Seoul",,1,A02,A0203,A02030600,3074203,76,20231207122813,http://tong.visitkorea.or.kr/cms/resource/32/3061932_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/3061932_image3_1.jpg,Type1,127.0076821872,37.5687878415,6,20231222153901,24,,Cheonggyecheon Old Books Street (청계천헌책방거리),04563
46,"Changsin-dong, Jongno-gu, Seoul",,1,A02,A0202,A02020700,897540,76,20091215020805,http://tong.visitkorea.or.kr/cms/resource/90/2544890_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2544890_image3_1.jpg,Type3,127.0050907302,37.5697015781,6,20240516170805,24,+82-2-2290-7111,Cheonggyecheon Stream (청계천),04563
47,"Makgye-dong, Gwacheon-si, Gyeonggi-do",,1,A01,A0101,A01010400,822944,76,20091020012336,,,,127.0543676446,37.4416867721,6,20240320112624,15,+82-2-2155-6870,Cheonggyesan Mountain (청계산),06806
48,"702, Olympic-ro, Gangdong-gu, Seoul",,1,A02,A0202,A02020700,997266,76,20100413203118,http://tong.visitkorea.or.kr/cms/resource/06/1986006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/1986006_image3_1.jpg,Type3,127.1269358994,37.5447233407,6,20200318184152,2,+82-2-489-2776,Cheonho Park (천호공원),05324
49,"9, Seongbuk-ro 15-gil, Seongbuk-gu, Seoul",,1,A02,A0201,A02010400,1810712,76,20130510195854,http://tong.visitkorea.or.kr/cms/resource/18/2031918_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2031918_image3_1.jpg,Type3,127.0003849431,37.5929960083,6,20211221200347,17,+82-2-3675-3401,Choi Sunu House (최순우 옛집),02880
50,"164, Changdeokgung-gil, Jongno-gu, Seoul",,1,A02,A0201,A02010700,1438008,76,20111117000001,http://tong.visitkorea.or.kr/cms/resource/93/1985993_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/1985993_image3_1.jpg,Type3,126.9868503170,37.5841440162,6,20191126222128,23,+82-2-742-1321,Choong Ang High School (중앙고등학교),03051
51,"46, Jeongdong-gil, Jung-gu, Seoul",,1,A02,A0201,A02010900,264635,76,20070822005759,http://tong.visitkorea.or.kr/cms/resource/49/1955149_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/1955149_image3_1.jpg,Type3,126.9723466121,37.5654653714,6,20200625182203,24,+82-2-753-0001,Chungdong First Methodist Church (서울 정동교회),04516
52,"1, Tongil-ro, Jung-gu, Seoul",,1,A02,A0203,A02030400,1340416,76,20110725204226,http://tong.visitkorea.or.kr/cms/resource/32/1985332_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/1985332_image3_1.jpg,Type3,126.9716025029,37.5560136788,6,20230811101848,24,,Culture Station Seoul 284 (문화역 서울 284),04509
53,"104, Daehak-ro, Jongno-gu, Seoul",,1,A02,A0203,A02030400,264317,76,20030109040302,http://tong.visitkorea.or.kr/cms/resource/86/1554786_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1554786_image3_1.jpg,Type3,127.0022045820,37.5802919622,6,20210325221134,23,+82-2-2148-1114,Daehangno (University Street) (대학로),03087
54,"139-26, Cheongpa-ro, Yongsan-gu, Seoul",,1,A02,A0201,A02010900,1935817,76,20140721194042,http://tong.visitkorea.or.kr/cms/resource/86/566486_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/566486_image3_1.jpg,Type3,126.9669951674,37.5355770817,6,20200318005021,21,+82-2-711-0933,Danggogae Catholic Martyrs' Shrine (당고개순교성지),04368
55,"99, Gomisul-ro, Dongdaemun-gu, Seoul",,1,A04,A0401,A04010600,2035491,76,20151024021340,http://tong.visitkorea.or.kr/cms/resource/14/1917414_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1917414_image3_1.jpg,Type3,127.0575972141,37.5642059383,6,20200918234345,11,+82-2-2249-0336,Dapsimni Antique Art Street (답십리 고미술상가),02622
56,"99, Yulgok-ro, Jongno-gu, Seoul",,1,A01,A0101,A01010500,1751264,76,20121113204221,http://tong.visitkorea.or.kr/cms/resource/85/1568385_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/1568385_image3_1.jpg,Type3,126.9892416983,37.5865076734,6,20200130195449,23,+82-2-3668-2300,Daraenamu Tree in Changdeokgung Palace (창덕궁 다래나무),03072
57,"99 Sejong-daero, Jung-gu, Seoul",,1,A02,A0201,A02010100,264316,76,20030109040234,http://tong.visitkorea.or.kr/cms/resource/05/3092905_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/3092905_image3_1.jpg,Type1,126.9749296905,37.5661486714,6,20240619163950,24,+82-2-771-9951,Deoksugung Palace (덕수궁),04519
58,"99, Sejong-daero, Jung-gu, Seoul",,1,A02,A0201,A02010300,1942577,76,20140821025417,http://tong.visitkorea.or.kr/cms/resource/75/3108175_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/75/3108175_image3_1.JPG,Type3,126.9749296905,37.5661486714,6,20240306171909,24,+82-2-771-9951,Deoksugung Palace's Daehanmun Gate (덕수궁 대한문),04519
59,"24, Sejong-daero 19-gil, Jung-gu, Seoul",,1,A02,A0203,A02030600,1748351,76,20121106202438,http://tong.visitkorea.or.kr/cms/resource/50/2658350_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2658350_image3_1.jpg,Type3,126.9748935853,37.5660820124,6,20240311180514,24,+82-2-120,Deoksugung Stone Wall Path (덕수궁 돌담길),04519
60,"396, World Cup buk-ro, Mapo-gu, Seoul",,1,A02,A0204,A02040800,2579399,76,20181218184920,http://tong.visitkorea.or.kr/cms/resource/70/2502570_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2502570_image2_1.jpg,Type3,126.8897676324,37.5795344793,6,20210201224623,13,+82-2-2132-1179,Digital Pavilion (디지털 파빌리온),03925
61,"Dobong-dong, Dobong-gu, Seoul",,1,A01,A0101,A01010400,1742421,76,20121029193822,http://tong.visitkorea.or.kr/cms/resource/65/1894465_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/1894465_image3_1.jpg,Type3,127.0184192271,37.6969870145,6,20210629003223,10,+82-2-954-2566,Dobongsan Mountain (도봉산),01318
62,"37-7, Jongno 5(o)-ga, Jongno-gu, Seoul",,1,A02,A0203,A02030600,2590278,76,20190215221058,http://tong.visitkorea.or.kr/cms/resource/53/2601453_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2601453_image3_1.jpg,Type3,127.0058684191,37.5703487391,6,20240304155925,23,+82-2-2236-9135,Dongdaemun Dak Hanmari Alley (서울 동대문 닭한마리 골목),03197
63,"281, Eulji-ro, Jung-gu, Seoul",,1,A02,A0204,A02040800,2475097,76,20170112193908,,,,127.0099486810,37.5675991318,6,20240517145817,24,+82-2-2153-0000,Dongdaemun Design Plaza (동대문디자인플라자 (DDP)),04566
64,"281 Eulji-ro, Jung-gu, Seoul",,1,A02,A0202,A02020700,1924956,76,20140611182747,http://tong.visitkorea.or.kr/cms/resource/72/1897972_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1897972_image3_1.jpg,Type3,127.0101708978,37.5670686420,6,20240306164606,24,+82-2-2266-7188,Dongdaemun History & Culture Park (동대문역사문화공원),04566
65,"21-1, Jong-ro 52-gil, Jongno-gu, Seoul",,1,A02,A0203,A02030600,1241248,76,20110324222335,http://tong.visitkorea.or.kr/cms/resource/88/3109188_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/3109188_image3_1.JPG,Type3,127.0144065057,37.5712043487,6,20240315100731,23,+82-2-1330,Dongdaemun Stationery Store Street (동대문 문구완구거리),03120
66,"251, Tongil-ro, Seodaemun-gu, Seoul",,1,A02,A0201,A02010300,264110,76,20021224015052,,,,126.9556423190,37.5746640029,6,20221215095122,14,,Dongnimmun Gate (독립문),03732
67,"20, Dosan-daero 45-gil, Gangnam-gu, Seoul",,1,A01,A0101,A01010500,264444,76,20040108223850,,,,127.0338117034,37.5214632538,6,20221216140642,1,+82-2-543-2558,Dosan Park (도산공원),06020
68,"504, Samyang-ro 173-gil, Gangbuk-gu, Seoul",,1,A02,A0201,A02010800,1348684,76,20110803001455,http://tong.visitkorea.or.kr/cms/resource/48/632948_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/632948_image3_1.jpg,Type3,126.9897341460,37.6552274686,6,20200330232348,3,,Doseonsa Temple (도선사),01002
69,"173 Wolgye-ro, Gangbuk-gu, Seoul",,1,A01,A0101,A01010500,1114212,76,20101020201443,http://tong.visitkorea.or.kr/cms/resource/86/2526686_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2526686_image2_1.jpg,Type3,127.0407498436,37.6233876457,6,20231019110035,3,+82-2-2289-4000,Dream Forest (북서울 꿈의숲),01228
70,"12, Insadong-gil, Jongno-gu, Seoul",,1,A02,A0202,A02020600,2392627,76,20160714004005,http://tong.visitkorea.or.kr/cms/resource/19/3109219_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/19/3109219_image3_1.JPG,Type3,126.9872034096,37.5718843365,6,20240315102512,23,+82-1544-8506,Dynamic Maze (Insa-dong) (다이나믹 메이즈 (서울 인사동점)),03163
71,"(Nodeulnaru Park), 290, Yeouidong-ro, Yeongdeungpo-gu, Seoul",,1,A02,A0202,A02020800,1796840,76,20130222183216,http://tong.visitkorea.or.kr/cms/resource/03/2493203_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/03/2493203_image2_1.JPG,Type3,126.9383924936,37.5258027055,6,20240313112320,20,+82-2-6291-6900,E-Land Cruise (Hangang River Ferry Cruise) (이랜드크루즈 (한강유람선)),07337
72,"37, Gyedong-gil, Jongno-gu, Seoul",,1,A02,A0201,A02010600,2541628,76,20180404195824,,,,126.9862366274,37.5790751499,6,20240318103441,23,+82-2-2148-4161,Eight Scenic Views of Bukchon (북촌 8경),03059
73,"129, Eulji-ro, Jung-gu, Seoul",,1,A02,A0203,A02030600,3013976,76,20230921170744,http://tong.visitkorea.or.kr/cms/resource/53/2995253_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2995253_image3_1.jpg,Type3,126.9926641809,37.5663295246,6,20230921172117,24,+82-2-1330,Euljiro Nogari Alley (을지로 노가리골목),04549
74,"35 Wausan-ro 37-gil, Mapo-gu, Seoul",,1,A02,A0203,A02030600,2538121,76,20180228010601,,,,126.9283758723,37.5565239562,6,20240319135346,13,+82-2-3153-8353,G-line Book Street (경의선책거리),04052
75,"Yeoksam-dong, Gangnam-gu, Seoul",,1,A02,A0203,A02030400,264571,76,20050705003841,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image3_1.jpg,Type3,127.0281573537,37.4970465429,6,20221130100633,1,+82-2-3423-5114,Gangnam (강남),06232
76,"279-23, Yangcheon-ro 27-gil, Gangseo-gu, Seoul",,1,A01,A0101,A01010500,1256247,76,20110413201935,http://tong.visitkorea.or.kr/cms/resource/81/1894481_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/1894481_image3_1.jpg,Type3,126.8171490732,37.5860879769,6,20210622002835,4,+82-2-3780-0621,Gangseo Marsh Ecological Park (강서습지생태공원),07518
77,"4, Dosan-daero 11-gil, Gangnam-gu, Seoul",,1,A02,A0202,A02020300,612304,76,20080820221219,http://tong.visitkorea.or.kr/cms/resource/12/591712_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/591712_image3_1.jpg,Type3,127.0226017143,37.5178856906,2,20170722001414,1,+82-2-546-3200,"Garosu Therapy (Formerly, The Massage) (가로수테라피(구, 더마사지))",06035
