addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
"5, Dangsan-ro, 36-gil, Yeongdeungpo-gu, Seoul",,1,A05,A0502,A05020900,2693008,82,20201207230435,http://tong.visitkorea.or.kr/cms/resource/00/2682700_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2682700_image2_1.jpg,Type3,126.8984238398,37.5284211312,6,20210325200301,20,+82-2-2671-2044,2CAFE (2카페),07220
"309 Jahamun-ro, Jongno-gu, Seoul",,1,A05,A0502,A05020100,349056,82,20080124054802,http://tong.visitkorea.or.kr/cms/resource/39/1361239_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1361239_image3_1.jpg,Type3,126.9587635581,37.5993084164,6,20240304161628,23,+82-2-395-2500,"309 Jahamun-ro, Jongno-gu, Seoul",03021
"365 Pharmacy, 43, Wausan-ro 27-gil, Mapo-gu, Seoul",365 Pharmacy,1,A04,A0401,A04011000,2960374,79,20230206135627,http://tong.visitkorea.or.kr/cms/resource/01/2888601_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2888601_image3_1.jpg,Type3,126.9261483484,37.5547574551,6,20240416144701,13,,365 Pharmacy - Hongik Univ. Branch [Tax Refund Shop] (365약국 홍대),04054
"14F, 435, Gangnam-daero, Seocho-gu, Seoul",,1,A04,A0401,A04011000,2955232,79,20230117233111,http://tong.visitkorea.or.kr/cms/resource/09/2880009_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2880009_image3_1.jpg,Type3,127.0255769144,37.5012293446,6,20240419101042,15,,365 Reset Clinic [Tax Refund Shop] (본의원),06612
"846, Gyeongin-ro, Yeongdeungpo-gu, Seoul",,1,A04,A0401,A04011000,2955650,79,20230129165914,,,,126.9076761334,37.5156700003,6,20240423101657,20,,4CUS - Lotte Yeongdeungpo Branch [Tax Refund Shop] (4CUS 롯데 영등포점),07306
"13th floor, 57, Myeongdong 2-gil, Jung-gu, Seoul",,1,B02,B0201,B02010900,2542774,80,20180412192855,http://tong.visitkorea.or.kr/cms/resource/34/2610934_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2610934_image2_1.jpg,Type3,126.9833929541,37.5610049770,6,20201214221530,24,+82-10-3262-3503,57 Myeongdong Hostel [Korea Quality] / 57명동호스텔 [한국관광 품질인증],04536
"105, Namsangongwon-gil, Yongsan-gu, Seoul",,1,A04,A0401,A04011000,2959610,79,20230206124408,http://tong.visitkorea.or.kr/cms/resource/40/2878440_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2878440_image3_1.jpg,Type3,126.9878733796,37.5511700886,6,20240418151916,21,,5F N Gift [Tax Refund Shop] (5F N기프트),04340
"(63 Square, basement 1st floor, Yeouido area) 50, 63-ro, Yeongdeungpo-gu, Seoul",,1,A05,A0502,A05020200,553150,82,20080424010014,,,,126.9401647239,37.5198034342,6,20240315170505,20,+82-2-789-5731,63 Buffet Pavilion (63뷔페 파빌리온),07345
"50, 63-ro, Yeongdeungpo-gu, Seoul",,1,A02,A0205,A02050600,264122,76,20031229000750,http://tong.visitkorea.or.kr/cms/resource/86/2526386_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2526386_image2_1.jpg,Type3,126.9403285961,37.5198673186,6,20240305103526,20,+82-2-789-5663,63 Square (63스퀘어),07345
"49, Gangnam-daero 156-gil, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2958721,79,20230202182837,http://tong.visitkorea.or.kr/cms/resource/20/2879720_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2879720_image3_1.jpg,Type3,127.0228988653,37.5194438475,6,20240418162729,1,,8 Seconds - Garosugil Branch [Tax Refund Shop] (에잇세컨즈 가로수길점),06034
"1005, Cheonho-daero, Gangdong-gu, Seoul",,1,A04,A0401,A04011000,2954751,79,20230123233921,,,,127.1244557316,37.5390267349,6,20240423104942,2,,8 Seconds - Hyundai Cheonho Branch [Tax Refund Shop] (에잇세컨즈 현대 천호점),05328
"66, Chungmin-ro, Songpa-gu, Seoul",,1,A04,A0401,A04011000,2955422,79,20230125231109,http://tong.visitkorea.or.kr/cms/resource/08/2879508_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2879508_image3_1.jpg,Type3,127.1249768726,37.4776672007,6,20240416161521,18,,8 Seconds - Hyundai City Mall Garden5 Branch [Tax Refund Shop] (에잇세컨즈 현대시티몰 가든파이브점),05838
"257, Mokdongdong-ro, Yangcheon-gu, Seoul",,1,A04,A0401,A04011000,2953671,79,20230126215604,,,,126.8747288364,37.5263292843,6,20240418163021,19,,8 Seconds - Hyundai Mokdong Branch [Tax Refund Shop] (에잇세컨즈 현대 목동점),07998
"1050, Tongil-ro, Eunpyeong-gu, Seoul",,1,A04,A0401,A04011000,2959974,79,20230202170845,http://tong.visitkorea.or.kr/cms/resource/42/2878242_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2878242_image3_1.jpg,Type3,126.9179162000,37.6375893423,6,20240418161332,22,,8 Seconds - Lotte Mall Eunpyeong Branch [Tax Refund Shop] (에잇세컨즈 롯데몰 은평점),03306
"300, Olympic-ro, Songpa-gu, Seoul",,1,A04,A0401,A04011000,2958615,79,20230202181630,http://tong.visitkorea.or.kr/cms/resource/71/2879071_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2879071_image3_1.jpg,Type3,127.1040749597,37.5141653654,6,20240418155800,18,,8 Seconds - Lotte World Mall Branch [Tax Refund Shop] (에잇세컨즈 롯데월드몰점),05551
"32, Myeongdong-gil, Jung-gu, Seoul",,1,A04,A0401,A04011000,2959625,79,20230206124542,http://tong.visitkorea.or.kr/cms/resource/41/2878641_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2878641_image3_1.jpg,Type3,126.9841872523,37.5636102438,6,20240422083055,24,,8 Seconds - Myeong-dong Branch [Tax Refund Shop] (에잇세컨즈 명동점),04536
"513, Yeongdong-daero, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2959085,79,20230204104202,http://tong.visitkorea.or.kr/cms/resource/10/2879910_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2879910_image3_1.jpg,Type3,127.0592179950,37.5119175967,6,20240418160108,1,,8 Seconds - Starfield Coex Branch [Tax Refund Shop] (에잇세컨즈 스타필드 코엑스점),06164
"185, Digital-ro, Geumcheon-gu, Seoul",,1,A04,A0401,A04011000,3326294,79,20240625134353,http://tong.visitkorea.or.kr/cms/resource/99/3313299_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/3313299_image3_1.jpg,Type3,126.8872262708,37.4782600918,6,20240627021639,8,,8 Seconds [Tax Refund Shop] (에잇세컨즈),08511
"16 Insadong 12-gil, Jongno-gu, Seoul",,1,A05,A0502,A05020100,2685876,82,20201125225637,http://tong.visitkorea.or.kr/cms/resource/95/3109295_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/3109295_image3_1.jpg,Type3,126.9851312933,37.5748200692,6,20240315115159,23,+82-70-8832-0853,853 (팔오삼),03146
"152, Gurojungang-ro, Guro-gu, Seoul",,1,A04,A0401,A04011000,3326246,79,20240625134123,http://tong.visitkorea.or.kr/cms/resource/70/3312770_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/3312770_image3_1.jpg,Type3,126.8827871414,37.5012129024,6,20240628085455,7,,8concept - NC Singuro Branch [Tax Refund Shop] (에잇컨셉 nc신구로),08292
"515, Seongsan-ro, Seodaemun-gu, Seoul",8th Avenue WithPharm Pharmacy,1,A04,A0401,A04011000,2954204,79,20230112164043,http://tong.visitkorea.or.kr/cms/resource/75/2890675_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2890675_image3_1.jpg,Type3,126.9433187706,37.5630679072,6,20240419084827,14,,8th Avenue WithPharm Pharmacy [Tax Refund Shop] (8번가위드팜약국),03721
"616, Nonhyeon-ro, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2957370,79,20230117164505,http://tong.visitkorea.or.kr/cms/resource/95/2888695_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2888695_image3_1.jpg,Type3,127.0335676386,37.5088369379,6,20240418093427,1,,911 SPORTS - Nonhyeon Branch [Tax Refund Shop] (구일일스포츠 논현),06108
"63 Mangu-ro 21-gil, Dongdaemun-gu, Seoul",,1,A05,A0502,A05020900,3099704,82,20231205135526,,,,127.0594851978,37.5899918651,6,20240215142527,11,,964 Coffee Roastery & Neoman Boyeo Croissant (964커피&너만보여크루아상),02439
"109, Gwanak-ro 12-gil, Gwanak-gu, Seoul",,1,A05,A0502,A05020200,2696387,82,20201210231412,http://tong.visitkorea.or.kr/cms/resource/95/2684795_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2684795_image2_1.jpg,Type3,126.9583670385,37.4774086837,6,20210326235119,5,+82-70-8692-9020,9ounce Burger (나인온스버거),08789
"3F-002, DOOTA Mall, 275, Jangchungdan-ro, Jung-gu, Seoul","3F-002, DOOTA Mall",1,A04,A0401,A04011000,2955501,79,20230125123450,http://tong.visitkorea.or.kr/cms/resource/81/2878681_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2878681_image3_1.jpg,Type3,127.0088293006,37.5689100708,6,20240419152705,24,,& soyou - Doota Branch [Tax Refund Shop] (엔소유 두타),04563
"3-6 Insadong 16-gil, Jongno-gu, Seoul",,1,A05,A0502,A05020100,3018839,82,20210311001423,http://tong.visitkorea.or.kr/cms/resource/02/2705102_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2705102_image3_1.jpg,Type3,126.9840286016,37.5753283236,6,20231010140147,23,,"A Flower Blossom on the Rice (꽃,밥에피다)",03146
"20-1, Samil-daero 8-gil, Jung-gu, Seoul",,1,A02,A0203,A02030400,2590011,76,20190211220745,http://tong.visitkorea.or.kr/cms/resource/90/2589890_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/90/2589890_image2_1.bmp,Type3,126.9901422899,37.5627326749,6,20210325201852,24,+82-10-8895-3368,A Moment in Time - Live Caricature & Gallery (시간을 담다),04553
"1F, 105, Teheran-ro, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2959817,79,20230131124507,,,,127.0285433827,37.4987019129,6,20240418081203,1,,A Tower Pharmacy - Gangnam Station Branch [Tax Refund Shop] (A타워약국 강남역),06134
"4F Lotte Department Store AVENUEL World Tower Branch, 300, Olympic-ro, Songpa-gu, Seoul",4F of Lotte Department Store AVENUEL World Tower Branch,1,A04,A0401,A04011000,2955028,79,20230124215735,http://tong.visitkorea.or.kr/cms/resource/96/2879096_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2879096_image3_1.jpg,Type3,127.1040305171,37.5142459111,6,20240419145007,18,,A.Testoni - Lotte Avenuel Branch [Tax Refund Shop] (아테스토니 롯데애비뉴엘점),05551
"3F, 300, Olympic-ro, Songpa-gu, Seoul",,1,A04,A0401,A04011000,2954812,79,20230124210449,http://tong.visitkorea.or.kr/cms/resource/59/2878959_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2878959_image3_1.jpg,Type3,127.1040749597,37.5141653654,6,20240417144933,18,,A.Testoni - Lotte Avenuel Jamsil Branch [Tax Refund Shop] (아테스토니 에비뉴엘잠실),05551
"45, Yanghwa-ro, Mapo-gu, Seoul",,1,A04,A0401,A04011000,2959849,79,20230202161017,,,,126.9136829551,37.5498911308,6,20240422134237,13,,A8 [Tax Refund Shop] (A8),04036
"17, Seocho-daero 77-gil, Seocho-gu, Seoul",,1,A04,A0401,A04011000,3323475,79,20240625015807,http://tong.visitkorea.or.kr/cms/resource/65/3313765_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/3313765_image3_1.jpg,Type3,127.0257686102,37.4996073141,6,20240627014048,15,,AB Plastic Surgery [Tax Refund Shop] (에이비성형외과의원),06614
"209, Bongcheon-ro, Gwanak-gu, Seoul",,1,A04,A0401,A04011000,3324303,79,20240625092015,http://tong.visitkorea.or.kr/cms/resource/17/3313517_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/17/3313517_image3_1.jpeg,Type3,126.9249974851,37.4905482278,6,20240627022154,5,,ab.f.z [Tax Refund Shop] (에이비에프지),08708
"482, Nohae-ro, Nowon-gu, Seoul",,1,A04,A0401,A04011000,3323404,79,20240625012828,http://tong.visitkorea.or.kr/cms/resource/05/3312805_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/3312805_image3_1.jpg,Type3,127.0617303823,37.6543260927,6,20240628085633,9,,ABC Mart - Nowon Branch [Tax Refund Shop] (ABC마트 노원점),01751
"353, Mangu-ro, Jungnang-gu, Seoul",,1,A04,A0401,A04011000,3323454,79,20240625014810,http://tong.visitkorea.or.kr/cms/resource/40/3314140_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/3314140_image3_1.jpg,Type3,127.0913376195,37.5981387149,6,20240627023805,25,,ABC Mart - Sangbong Branch [Tax Refund Shop] (ABC마트 상봉점),02087
"46, Dongil-ro 204ga-gil, Nowon-gu, Seoul",,1,A04,A0401,A04011000,3324955,79,20240625103131,http://tong.visitkorea.or.kr/cms/resource/39/3313139_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/3313139_image3_1.jpg,Type3,127.0679274101,37.6413416033,6,20240626210640,9,,ABC-Mart - 2001 Outlet Junggye Branch [Tax Refund Shop]  (ABC마트 2001아울렛 중계),01783
"7, Cheonho-daero 157-gil, Gangdong-gu, Seoul",,1,A04,A0401,A04011000,2958502,79,20230202124942,http://tong.visitkorea.or.kr/cms/resource/79/2878879_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2878879_image3_1.jpg,Type3,127.1266166655,37.5383685170,6,20240418155446,2,,ABC-Mart - Cheonho Branch [Tax Refund Shop] (ABC마트 천호점),05329
"17, Hongik-ro, Mapo-gu, Seoul",,1,A04,A0401,A04011000,2957793,79,20230117182132,http://tong.visitkorea.or.kr/cms/resource/33/2890333_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2890333_image3_1.jpg,Type3,126.9228014552,37.5538991615,6,20240423105313,13,,ABC-Mart - Hongdae Branch [Tax Refund Shop] (ABC마트 홍대점),04040
"13, Hongik-ro 5-gil, Mapo-gu, Seoul",,1,A04,A0401,A04011000,2958570,79,20230202132311,http://tong.visitkorea.or.kr/cms/resource/16/2889316_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2889316_image3_1.jpg,Type3,126.9215932233,37.5542018826,6,20240423084125,13,,ABC-Mart - Hongdae Hongik-ro Branch [Tax Refund Shop] (ABC마트 GS홍대홍익로),04039
"152, Yanghwa-ro, Mapo-gu, Seoul",,1,A04,A0401,A04011000,2959597,79,20230206123604,http://tong.visitkorea.or.kr/cms/resource/91/2890491_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2890491_image3_1.jpg,Type3,126.9229069451,37.5558767113,6,20240422120324,13,,ABC-Mart - Hongik Univ. Station Branch [Tax Refund Shop] (ABC마트 GS홍대역점),04050
"662, Gyeongin-ro, Guro-gu, Seoul",,1,A04,A0401,A04011000,2958126,79,20230131185633,http://tong.visitkorea.or.kr/cms/resource/76/2880176_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2880176_image3_1.jpg,Type3,126.8884169673,37.5089148857,6,20240422085242,7,,ABC-Mart - Hyundai D-CUBE City Branch [Tax Refund Shop] (ABC마트 신도림디큐브점),08209
"Life Bldg. 3F, 66, Chungmin-ro, Songpa-gu, Seoul",,1,A04,A0401,A04011000,2955401,79,20230125230941,http://tong.visitkorea.or.kr/cms/resource/04/2879504_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2879504_image3_1.jpg,Type3,127.1249768726,37.4776672007,6,20240419143700,18,,ABC-Mart - Hyundai Garden5 Branch [Tax Refund Shop] (ABC마트 현대가든파이브),05838
"159-1, Itaewon-ro, Yongsan-gu, Seoul",,1,A04,A0401,A04011000,2958411,79,20230202123759,http://tong.visitkorea.or.kr/cms/resource/73/2878473_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2878473_image3_1.jpg,Type3,126.9916818370,37.5345332016,6,20240422082328,21,,ABC-Mart - Itaewon Branch [Tax Refund Shop] (ABC마트 ST이태원),04351
"1955, Goyang-daero, Deogyang-gu, Goyang-si, Gyeonggi-do",B1,1,A04,A0401,A04011000,2959243,79,20230204110134,,,,127.0592179950,37.5119175967,6,20240422135731,1,,ABC-Mart - KM Starfield Coex Branch [Tax Refund Shop] (ABC마트 KM코엑스점),06164
"38, Haneul-gil, Gangseo-gu, Seoul",,1,A04,A0401,A04011000,2959141,79,20230205145642,http://tong.visitkorea.or.kr/cms/resource/28/2890328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2890328_image3_1.jpg,Type3,126.8029675746,37.5668621822,6,20240423091833,4,,ABC-Mart - Lotte Gimpo Branch [Tax Refund Shop] (ABC마트 롯데 김포점),07505
"3F, 1050, Tongil-ro, Eunpyeong-gu, Seoul",3F,1,A04,A0401,A04011000,2960473,79,20230205135716,http://tong.visitkorea.or.kr/cms/resource/96/2888996_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2888996_image3_1.jpg,Type3,126.9179162000,37.6375893423,6,20240422085610,22,,ABC-Mart - Lotte Mall Eunpyeong Branch [Tax Refund Shop] (ABC마트 MS롯데은평),03306
"4F, 300, Olympic-ro, Songpa-gu, Seoul",,1,A04,A0401,A04011000,2960244,79,20230202174456,http://tong.visitkorea.or.kr/cms/resource/77/2878977_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2878977_image3_1.jpg,Type3,127.1040749597,37.5141653654,6,20240423132835,18,,ABC-Mart - Lotte World Mall Branch [Tax Refund Shop] (ABC마트 KM롯데월드몰),05551
"4F, 300, Olympic-ro, Songpa-gu, Seoul",,1,A04,A0401,A04011000,2958515,79,20230202180450,http://tong.visitkorea.or.kr/cms/resource/14/2879014_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2879014_image3_1.jpg,Type3,127.1040749597,37.5141653654,6,20240422085523,18,,ABC-Mart - Lotte World Mall Branch [Tax Refund Shop] (ABC마트 롯데월드몰),05551
"Store# B123, Store# B124,, 45, Yanghwa-ro, Mapo-gu, Seoul","Store# B123, Store# B124,",1,A04,A0401,A04011000,2954947,79,20230117220637,http://tong.visitkorea.or.kr/cms/resource/16/2878316_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2878316_image3_1.jpg,Type3,126.9136829551,37.5498911308,6,20240422115234,13,,ABC-Mart - Mecenatpolis Branch [Tax Refund Shop] (ABC마트 메세나폴리스),04036
"45, Dobong-ro, Gangbuk-gu, Seoul",,1,A04,A0401,A04011000,2959169,79,20230205150027,,,,127.0298594613,37.6131469738,6,20240418155524,3,,ABC-Mart - Mia Branch [Tax Refund Shop] (ABC마트 미아점),01211
"41, Myeongdong 10-gil, Jung-gu, Seoul",,1,A04,A0401,A04011000,2957739,79,20230130120033,http://tong.visitkorea.or.kr/cms/resource/50/2878650_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2878650_image3_1.jpg,Type3,126.9858871398,37.5621104492,6,20240417095033,24,,ABC-Mart - Myeong-dong 3(sam)beon-ga [Tax Refund Shop] (ABC마트 ST명동3번가),04537
"17, Gangseo-ro 56-gil, Gangseo-gu, Seoul",,1,A04,A0401,A04011000,2959135,79,20230205145542,http://tong.visitkorea.or.kr/cms/resource/26/2890326_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2890326_image3_1.jpg,Type3,126.8405115644,37.5599858729,6,20240418160227,4,,ABC-Mart - NC Gangseo Store Branch [Tax Refund Shop] (ABC마트 NC 강서점),07584
"152, Gurojungang-ro, Guro-gu, Seoul",,1,A04,A0401,A04011000,3323124,79,20240625001648,http://tong.visitkorea.or.kr/cms/resource/01/3313301_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/3313301_image3_1.jpg,Type3,126.8827871414,37.5012129024,6,20240627021546,7,,ABC-Mart - NC Singuro Branch [Tax Refund Shop] (abc마트 nc신구로),08292
"159, Noryangjin-ro, Dongjak-gu, Seoul",,1,A04,A0401,A04011000,2958917,79,20230202141135,http://tong.visitkorea.or.kr/cms/resource/14/2880014_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2880014_image3_1.jpg,Type3,126.9436367921,37.5140486094,6,20240423100416,12,,ABC-Mart - Noryangjin Branch [Tax Refund Shop] (ABC마트 ST노량진점),06902
"172, Gwanak-ro, Gwanak-gu, Seoul",,1,A04,A0401,A04011000,3323324,79,20240625010138,http://tong.visitkorea.or.kr/cms/resource/82/3314782_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3314782_image3_1.jpg,Type3,126.9529729960,37.4805721092,6,20240627020730,5,,ABC-Mart - Seoul National University Station Branch [Tax Refund Shop] (ABC마트 서울대점),08788
"6, Myeongmul-gil, Seodaemun-gu, Seoul",,1,A04,A0401,A04011000,2959250,79,20230128133130,http://tong.visitkorea.or.kr/cms/resource/95/2890495_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2890495_image3_1.jpg,Type3,126.9374278017,37.5573684645,6,20240422132458,14,,ABC-Mart - Sinchon Branch [Tax Refund Shop] (ABC마트 GS신촌점),03777
"513, Yeongdong-daero, Gangnam-gu, Seoul",,1,A04,A0401,A04011000,2959179,79,20230204105416,,,,127.0592179950,37.5119175967,6,20240423103323,1,,ABC-Mart - Starfield Coex Mall Branch [Tax Refund Shop] (ABC마트 GS스타필드 코엑스몰점),06164
"85, Gwangnaru-ro 56-gil, Gwangjin-gu, Seoul",,1,A04,A0401,A04011000,2959990,79,20230128151040,,,,127.0957084403,37.5357793715,6,20240418155054,6,,ABC-Mart - Techno Mart Gangbyeon Branch [Tax Refund Shop] (ABC마트 테크노마트 강변점),05116
"15, Yeongjung-ro, Yeongdeungpo-gu, Seoul",,1,A04,A0401,A04011000,2955685,79,20230118224130,http://tong.visitkorea.or.kr/cms/resource/82/2880082_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2880082_image3_1.jpg,Type3,126.9053818370,37.5178335971,6,20240422144116,20,,ABC-Mart - TIMES SQUARE Branch [Tax Refund Shop] (ABC마트 타임스퀘어점),07305
"B1, Hongdae Underground Shopping Center, 161, Yanghwa-ro, Mapo-gu, Seoul","B1, Hongdae Underground Shopping Center",1,A04,A0401,A04011000,2960675,79,20230206145031,http://tong.visitkorea.or.kr/cms/resource/07/2878307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2878307_image3_1.jpg,Type3,126.9233290975,37.5569904784,6,20240417151025,13,,ABC-Mart - TIMES SQUARE Hongdae Branch [Tax Refund Shop] (ABC마트 타임스퀘어홍대),03995
"2F, 240, World Cup-ro, Mapo-gu, Seoul",,1,A04,A0401,A04011000,2961584,79,20230206175742,http://tong.visitkorea.or.kr/cms/resource/33/2891133_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2891133_image3_1.jpg,Type3,126.8972867075,37.5683414708,6,20240423130901,13,,ABC-Mart - World Cup Branch [Tax Refund Shop] (ABC 마트 월드컵점),03932
"842, Tongil-ro, Eunpyeong-gu, Seoul",,1,A04,A0401,A04011000,2955627,79,20230129165752,http://tong.visitkorea.or.kr/cms/resource/72/2890372_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2890372_image3_1.jpg,Type3,126.9220774654,37.6187443871,6,20240418160542,22,,ABC-Mart - Yeonsinnae Branch [Tax Refund Shop] (ABC마트 연신내점),03350
"9, Digital-ro 10-gil, Geumcheon-gu, Seoul",,1,A04,A0401,A04011000,2960228,79,20230131182338,,,,126.8890705637,37.4776713039,6,20240423100032,8,,ABC-Mart [Tax Refund Shop] (ABC마트),08514
